,id,date,user_id,text,messages,contains_similar_buhexpert,emotion,emotion_score,reason,clear_text
4834,4835,2024-01-12,128,Это с сайта бухэксперт приведен пример,messages_2,True,positive,0.75,"Пользователь ссылается на сервис бухэксперт как на источник достоверной информации, что считается хорошим примером для сервиса.",это с сайта бухэксперт приведен пример
10825,10826,2024-01-19,31,Бухэксперт - подробно целая тема..))),messages_2,True,positive,0.7,"Пользователь ссылается на бухгалтерский эксперта как на источник достоверной информации, что говорит о позитивном отношении к сервису. Хотя комментарий содержит негативный тон, он все же указывает на полезность сервиса.",бухэксперт подробно целая тема
10883,10884,2024-01-19,547,В Бухэксперте есть,messages_2,True,positive,0.5,"Пользователь ссылается на сервис Buhexpert как источник информации, но не выражает особую эмоцию по отношению к сервису. Поэтому оценка положительная, но с нейтральным эмоциональным фоном.",в бухэксперте есть
10937,10938,2024-01-20,13,"Ну есть стаж, а там о выплатах фсс инфа, это что-то новое...я в пн буду искать еще информацию кроме бухэксперта",messages_2,True,positive,0.5,"Пользователь не доволен именно сервисом, но ссылается на него как на источник информации, делая комментарий положительным",ну есть стаж а там о выплатах фсс инфа это что то новое я в пн буду искать еще информацию кроме бухэксперта
11171,11172,2024-01-20,13,Если вам это поможет https://buhexpert8.ru/1s-buhgalteriya/posrednicheskie-operatsii/priobretenie-tovara/kak-otrazit-perevystavlenie-uslug-marketplejsom-ozon-v-1s.html,messages_2,False,positive,0.7,"Пользователь ссылается на сервис бухэксперт 8 как на полезный источник информации, что считается положительным отзывом.",если вам это поможет ссылка на бухэксперт 8
12339,12340,2024-01-22,13,"https://buhexpert8.ru/1s-zup/etk-i-uchet-dlya-pfr/personifitsirovannyj-uchet/podrazdel-1-2-efs-1-po-sotrudnitsam-uhodyashhim-v-otpuska-po-bir-i-po-uhodu-za-rebenkom.html


Вот инфа про новый отчет",messages_2,False,positive,0.7,"Пользователь ссылается на сервис Buhexpert 8 как на источник достоверной информации, что делает комментарий положительным. Хотя он высказывается негативно, он все же признает, что сервис может быть полезным для получения информации.",ссылка на бухэксперт 8 вот инфа про новый отчет
12358,12359,2024-01-22,13,"Вот я ж написала, например в консультанте я про этот отчёт информации ещё не видела, только в сбисе и бухэксперте. Вопрос, его надо сдавать? Официально есть подтверждение сфр?",messages_2,True,positive,0.5,"Пользователь ссылается на сервис как на источник информации, но не выражает особой эмоциональной оценки по сравнению с консультантом. Сервис упомянут только в контексте предоставления официальной документации.",вот я ж написала например в консультанте я про этот отчёт информации ещё не видела только в сбисе и бухэксперте вопрос его надо сдавать официально есть подтверждение сфр
13270,13271,2024-01-24,249,Посмотрите здесь. В примере как раз превышение по итогу 4 кв https://buhexpert8.ru/1s-buhgalteriya/nalogi/nalog-na-pribyl/osobennosti-nalogovogo-ucheta-v-1s/perehod-na-ezhemesyachnuyu-uplatu-avansovyh-platezhej-po-nalogu-na-pribyl-s-01-yanvarya.html,messages_2,False,positive,0.7,"Пользователь ссылается на сервис как на источник информации, несмотря на то что выражение его мнения является негативным. Это считается хорошим примером для сервиса.",посмотрите здесь в примере как раз превышение по итогу 4 кв ссылка на бухэксперт 8
14932,14933,2024-01-26,13,"https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/usn-dohody-rashody.html


Тут обсуждение вот",messages_2,False,positive,0.7,"Пользователь ссылается на сервис бухэксперт 8 как на источник информации, что считается хорошим примером для сервиса. Хотя комментарий содержит негативный тон, но он не направлен напрямую против сервиса, а лишь использует его как источник для обсуждения.",ссылка на бухэксперт 8 тут обсуждение вот
15905,15906,2024-01-29,249,"Возможно нужно открыть период, НДС все равно будет корректироваться по дате УКД, а баланс и НД по прибыли, наверное еще не сдавали https://buhexpert8.ru/1s-buhgalteriya/lajfhaki-dlya-buhgaltera/putevoditel-po-dokumentam/pokupki/dokument-korrektirovka-postupleniya-vid-operatsii-ispravlenie-v-pervichnyh-dokumentah.html",messages_2,False,positive,0.5,"Пользователь ссылается на сервис как на источник информации, но высказывается нейтрально о нем. Основная причина - сервис упоминается только как источник данных, без явной оценки или мнения о нем.",возможно нужно открыть период ндс все равно будет корректироваться по дате укд а баланс и нд по прибыли наверное еще не сдавали ссылка на бухэксперт 8
